method,model,rmse,score,adjr2,mae
Baseline,MLR,162554.0271,0.713739,0.614099,97264.37442
Baseline,CatBoost,145346.8324,0.801108,0.745209,84938.80666
Baseline,RandomForest,129111.5787,0.823694,0.784938,80804.73348
Baseline,GradientBoost,127430.7136,0.815598,0.766166,79036.39724
Baseline,XGBoost,135311.5056,0.817183,0.784815,77666.92004
Baseline,MLR,323598.4212,0.708549,0.602017,104903.6576
Baseline,CatBoost,128440.4518,0.805778,0.759898,79474.25549
Baseline,RandomForest,143800.9564,0.799541,0.739674,83969.28044
Baseline,GradientBoost,147040.4772,0.804953,0.756803,84838.8669
Baseline,XGBoost,135300.8007,0.815213,0.780702,81700.04211
Baseline,MLR,266378.3271,0.699873,0.620013,105616.3118
Baseline,CatBoost,138649.5836,0.820058,0.768864,83567.24688
Baseline,RandomForest,143985.3902,0.803183,0.741273,86437.83958
Baseline,GradientBoost,137836.0645,0.810506,0.757492,83743.37306
Baseline,XGBoost,144187.8946,0.807114,0.761264,83520.1512
Baseline,MLR,167146.1881,0.73398,0.640563,98655.75186
Baseline,CatBoost,130605.9545,0.814531,0.769207,82131.36643
Baseline,RandomForest,142727.7398,0.811265,0.762338,83930.9327
Baseline,GradientBoost,135766.1369,0.812567,0.761642,83438.50582
Baseline,XGBoost,130906.7545,0.802746,0.768722,80424.96516
Baseline,MLR,170054.3655,0.733732,0.640763,99795.6841
Baseline,CatBoost,124146.5782,0.82088,0.778349,77225.76054
Baseline,RandomForest,129500.1668,0.817841,0.766531,81361.9017
Baseline,GradientBoost,134789.384,0.792579,0.743358,81639.62756
Baseline,XGBoost,126935.4198,0.815316,0.785974,78238.84312
Baseline,MLR,455944.1029,0.690673,0.610434,109447.1277
Baseline,CatBoost,131686.3327,0.801171,0.752442,81001.257
Baseline,RandomForest,146011.1871,0.799915,0.743506,86140.3591
Baseline,GradientBoost,144582.6958,0.820391,0.768129,83721.13137
Baseline,XGBoost,134319.6167,0.824123,0.790796,78841.68619
Baseline,MLR,174383.8535,0.736117,0.644258,99869.15041
Baseline,CatBoost,135912.7503,0.815807,0.775756,84097.18034
Baseline,RandomForest,133518.8638,0.796084,0.740702,82024.96634
Baseline,GradientBoost,137635.0669,0.810618,0.760437,83401.93413
Baseline,XGBoost,134821.6124,0.821056,0.788912,79605.18033
Baseline,MLR,174284.2193,0.736924,0.640024,100970.4272
Baseline,CatBoost,138495.2901,0.795664,0.740671,83364.89106
Baseline,RandomForest,135403.4127,0.792202,0.744445,83428.33204
Baseline,GradientBoost,131344.028,0.822439,0.770519,80780.38965
Baseline,XGBoost,133137.4214,0.811899,0.784481,81186.04789
Baseline,MLR,165847.8408,0.72401,0.617755,98971.83415
Baseline,CatBoost,136635.8861,0.800859,0.752896,83200.04995
Baseline,RandomForest,140593.2141,0.815761,0.761642,85167.86847
Baseline,GradientBoost,133705.086,0.823562,0.766135,79729.0556
Baseline,XGBoost,130691.1221,0.823818,0.795083,78363.06424
Baseline,MLR,225454.4163,0.70997,0.606165,100683.7321
Baseline,CatBoost,137610.9913,0.815729,0.759685,82781.19474
Baseline,RandomForest,143470.7624,0.803441,0.741166,85666.23559
Baseline,GradientBoost,126080.373,0.824254,0.781766,79259.55499
Baseline,XGBoost,133917.6607,0.814259,0.773903,78569.3174
Baseline,MLR,256385.7708,0.711924,0.623766,98402.45101
Baseline,CatBoost,137146.0065,0.813632,0.760927,82161.30314
Baseline,RandomForest,142038.4136,0.811619,0.758532,81633.37009
Baseline,GradientBoost,145653.1344,0.796895,0.741425,85892.52928
Baseline,XGBoost,145365.311,0.784589,0.74293,83561.65774
Baseline,MLR,1.40E+26,-8.897117,0.04656,3.13E+24
Baseline,CatBoost,140252.53,0.810622,0.753831,82084.32883
Baseline,RandomForest,131918.738,0.828336,0.783299,80833.88528
Baseline,GradientBoost,145790.0663,0.80515,0.754921,84628.52559
Baseline,XGBoost,140522.8849,0.821278,0.786406,80974.1168
Baseline,MLR,421168.2801,0.71242,0.630881,108746.778
Baseline,CatBoost,133584.8923,0.809951,0.766879,80143.70264
Baseline,RandomForest,142677.049,0.812308,0.749099,83481.23521
Baseline,GradientBoost,140360.2265,0.79983,0.740808,85821.55728
Baseline,XGBoost,132442.3308,0.822692,0.792764,81086.1045
Baseline,MLR,165438.3224,0.730546,0.64195,99552.4888
Baseline,CatBoost,137694.1257,0.820339,0.781373,82999.52281
Baseline,RandomForest,133807.9956,0.798167,0.751695,82624.05183
Baseline,GradientBoost,130890.8843,0.821833,0.777674,80802.86287
Baseline,XGBoost,138107.6361,0.808271,0.774702,80803.52621
Baseline,MLR,173221.1757,0.750247,0.6702,98964.15007
Baseline,CatBoost,134546.2435,0.810707,0.761493,80553.62902
Baseline,RandomForest,126506.1347,0.81092,0.767936,78786.06501
Baseline,GradientBoost,140845.6508,0.810116,0.760196,83002.41972
Baseline,XGBoost,130798.704,0.820443,0.787182,78498.60412
Baseline,MLR,170909.4084,0.746115,0.666812,97317.14218
Baseline,CatBoost,133301.6348,0.815742,0.768927,82044.92056
Baseline,RandomForest,130976.01,0.805965,0.757419,80497.50143
